genres,avg_rating,avg_runtime,min_runtime,max_runtime
Action,4.45,113.5,90.0,137.0
"Action,Adventure,Fantasy",2.2,99.0,99.0,99.0
"Action,Adventure,Horror",3.7,85.0,85.0,85.0
"Action,Animation,Comedy",1.9,91.0,91.0,91.0
"Action,Biography,History",1.3,120.0,120.0,120.0
"Action,Comedy,Crime",6.1,109.0,95.0,123.0
"Action,Comedy,Drama",1.8,105.0,105.0,105.0
"Action,Comedy,Horror",8.4,50.0,50.0,50.0
"Action,Crime,Drama",5.9,131.0,87.0,175.0
"Action,Crime,Thriller",3.8,163.0,163.0,163.0
"Action,Drama",7.4,97.0,97.0,97.0
"Action,Sci-Fi",1.2,85.0,85.0,85.0
"Action,Thriller",3.3,144.0,144.0,144.0
Adventure,8.2,,,
"Adventure,Animation,Comedy",7.133333333333333,90.0,83.0,103.0
"Adventure,Animation,Sci-Fi",5.1,45.0,45.0,45.0
"Adventure,Comedy",3.0,99.0,99.0,99.0
"Adventure,Comedy,Drama",7.3,114.0,114.0,114.0
"Animation,Documentary,Family",9.6,68.0,68.0,68.0
"Animation,Drama,History",7.8,160.0,160.0,160.0
Biography,6.0,102.0,102.0,102.0
"Biography,Comedy,Drama",5.9,75.0,75.0,75.0
"Biography,Drama",7.2,114.0,114.0,114.0
"Biography,Drama,Music",5.3,90.0,90.0,90.0
Comedy,3.7,91.33333333333333,86.0,100.0
"Comedy,Crime",5.7,89.0,89.0,89.0
"Comedy,Crime,Thriller",2.6,101.0,101.0,101.0
"Comedy,Drama",7.5,90.0,90.0,90.0
"Comedy,Drama,Fantasy",6.5,80.0,80.0,80.0
"Comedy,Drama,Music",4.7,84.0,84.0,84.0
"Comedy,Horror,Thriller",2.4,90.0,90.0,90.0
"Crime,Drama",6.7,,,
Documentary,8.981818181818182,85.6,52.0,180.0
"Documentary,Music",9.3,200.0,200.0,200.0
Drama,5.758333333333334,108.0909090909091,75.0,138.0
"Drama,Family",7.9,102.0,102.0,102.0
"Drama,Fantasy,Horror",5.2,100.0,100.0,100.0
"Drama,Musical,Romance",4.4,,,
"Drama,Mystery,Sci-Fi",6.1,110.0,108.0,112.0
"Drama,Sci-Fi,Thriller",4.9,100.0,100.0,100.0
"Drama,Thriller",3.2,91.0,91.0,91.0
History,4.6,100.0,100.0,100.0
Horror,4.3999999999999995,94.25,92.0,98.0
"Horror,Thriller",3.2600000000000002,90.0,74.0,100.0
"Mystery,Romance",1.7,90.0,90.0,90.0
"Mystery,Thriller",3.6,76.0,76.0,76.0
Thriller,1.45,92.0,92.0,92.0
Western,1.1,80.0,80.0,80.0
